XXX,onbekend
DEPO,depot
DEPO.MV,meervoudig depot
DEPO.EV,enkelvoudig depot
CTHD.X,cultus / heiligdom
CTHD.KLO,klooster
CTHD.KPL,kapel
CTHD.SGMW,synagoge / mikweh
CTHD.KERK,kerk
CTHD.RCP,cultusplaats / heiligdom / tempel
CTHD.OLOC,openluchtofferplaats of cultusplaats
CTHD.TEMP,tempel
BEWV.X,bewoning (inclusief verdediging)
BEWV.LG,loopgraaf
BEWV.WB,(ring)walburg
BEWV.SCH,schans
BEWV.VX,versterking onbepaald
BEWV.VLP,legerplaats
BEWV.LK,legerkamp
BEWV.CT,castrum
BEWV.CSTL,castellum
BEWV.MBH,moated site
BEWVV.PLS,paleo landschap
BEWV.KWB,kasteel
BEWV.HT,huisterp / huiswierde
BEWV.AW,aardwerk
BEWV.DUMP,dump
BEWV.VIC,vicus
BEWV.KAZE,kazematten
BEWV.FORT,fort
BEWV.SK,nederzetting met stedelijk karakter
BEWV.WP,burgus / wachtpost
BEWV.N,niet opgehoogde nederzetting zonder stedelijk karakter
BEWV.RV,(romeinse) villa
BEWV.STEL,stelling / linie
BEWV.BW,bolwerk
BEWV.HP,"niet opgehoogde, individuele huisplaats"
BEWV.TH,thermen
BEWV.INKA,(internerings)kamp
BEWV.SV,slagveld
BEWV.BEXT,kampement
BEWV.VKM,mottekasteel
BEWV.TW,terp / wierde
BEWV.LW,landweer
APVV.X,agrarische productie en voedselvoorziening
APVV.VW,visweer
APVV.VK,veekraal / schaapskooi
APVV.VS,visserij
APVV.STEL,stelle / stelberg
APVV.EK,eendenkooi
APVV.CF,celtic field
APVV.DP,drenkplaats / dobbe
APVV.LA,akker / tuin
APVV.AK,akker
APVV.TUIN,(moes)tuin
APVV.PDEK,plaggendek
WRAK,wrak
WRAK.SCHIP,scheepswrak
WRAK.VLGTG,vliegtuigwrak
IDNH.X,industrie en nijverheid
IDNH.TK,traankokerij
IDNH.TN,textielnijverheid
IDNH.BR,bierbrouwerij
IDNH.ZP,zoutproductie
IDNH.SB,steen- of pannenbakkerij
IDNH.HKB,houtskool- of kolenbranderij
IDNH.BB,beenbewerking
IDNH.LL,leerlooierij
IDNH.HB,houtbewerking / schrijnwerkerswerkplaats
IDNH.M,molen
