dataset_id,dataset_metadata_link,labels
11229,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:11229&format=XML,xme
11234,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:11234&format=XML,paleo|meso|neo|brons
11244,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:11244&format=XML,xxx
11245,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:11245&format=XML,xxx
11252,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:11252&format=XML,xxx
11253,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:11253&format=XML,xme
12264,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12264&format=XML,xxx
12267,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12267&format=XML,xxx
12271,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12271&format=XML,xxx
12272,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12272&format=XML,nt
12273,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12273&format=XML,xxx
12275,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12275&format=XML,xme
12296,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12296&format=XML,xxx
12301,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12301&format=XML,neo
12306,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12306&format=XML,meso|neo
12310,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12310&format=XML,xme|nt
12315,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12315&format=XML,neo|brons|ijz
12319,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12319&format=XML,xme|nt
12321,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12321&format=XML,xxx
12335,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12335&format=XML,xxx
12341,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12341&format=XML,xxx
12356,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12356&format=XML,xxx
12363,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12363&format=XML,xxx
12455,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12455&format=XML,xxx
12465,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12465&format=XML,rom
12474,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12474&format=XML,xxx
12476,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12476&format=XML,xxx
12478,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12478&format=XML,ijz|xme|nt
12487,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12487&format=XML,nt
12502,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12502&format=XML,xxx
12509,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12509&format=XML,brons|xme|nt
12510,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12510&format=XML,xme|nt
12516,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12516&format=XML,xxx
12884,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12884&format=XML,xxx
